number_of_publications,latest_affiliation_country,dist
6,arg,1980
61,grc,13
2,svk,2945
1,cog,1638
9,uga,96
47,rus,69
21,dza,15
8,hun,660
50,bra,136
39,deu,437
46,ind,148
87,aus,44
94,che,9
130,chn,54
60,irl,7
126,esp,8
1,dji,61
23,sgp,95
77,kor,65
10,irq,42
22,hkg,121
21,chl,104
102,tha,4
16,vnm,40
48,pol,42
4,ncl,36
2,fsm,15
59,hkg,14
5,can,10329
6,nzl,1071
2,cub,3157
3,syr,171
2,prt,9154
134,usa,70
32,fra,611
10,hrv,359
11,idn,229
29,isr,106
47,deu,281
26,pak,84
38,rus,95
40,che,93
68,nor,14
56,hun,4
24,twn,329
76,che,22
35,chn,1914
19,sau,130
21,per,11
178,nld,4
50,sgp,18
16,mtq,2
2,gib,7
13,ind,2819
3,aut,4108
14,ita,2887
12,pol,1368
1,cmr,3849
152,usa,46
8,hrv,501
10,deu,5250
48,tun,7
2,irl,5141
11,ven,55
46,nld,117
65,aus,95
24,mkd,3
36,zaf,53
136,usa,67
64,jpn,152
200,rus,3
20,pak,138
168,deu,10
118,bel,4
57,che,58
216,dnk,2
71,twn,34
154,chn,29
24,hkg,92
167,gbr,6
30,rou,42
59,irn,44
56,pak,12
17,mlt,5
134,kor,8
4,png,30
9,btn,7
12,eth,73
1,ken,5664
4,aus,11367
1,lby,973
7,arg,1518
1,pse,1240
98,deu,35
48,nga,5
66,nor,22
19,twn,454
86,esp,41
55,hun,8
85,prt,16
132,nzl,1
40,nor,57
23,prt,196
23,nga,45
19,dza,18
6,syr,36
79,irn,20
21,svk,72
247,usa,9
90,bra,22
11,kwt,34
10,ben,29
69,prt,14
3,ita,23560
40,rus,99
2,aze,591
19,bel,344
25,bra,699
31,ind,352
7,bfa,62
46,swe,60
14,prt,510
13,dnk,559
92,nld,31
21,arg,193
35,gbr,525
58,nld,81
128,can,21
52,aus,128
194,aus,7
152,nld,8
7,arm,41
41,swe,98
2,fji,103
12,irq,29
24,tha,78
88,bra,17
56,twn,61
12,bih,29
17,alb,4
14,per,37
6,fsm,3
47,tun,7
12,tun,191
14,mys,338
208,jpn,3
29,esp,537
45,usa,1424
18,mys,200
386,usa,3
54,jpn,234
29,bra,503
64,bra,63
61,esp,77
14,rou,261
81,tun,2
140,nld,13
64,ita,88
99,jpn,54
48,tha,16
129,can,12
60,ind,70
38,pan,2
13,bgd,79
30,tun,27
71,nld,51
5,npl,244
55,tun,4
4,mlt,73
121,nzl,3
1,hnd,501
56,fin,26
13,tza,40
34,pol,149
75,aut,12
37,tun,17
15,ind,2027
9,deu,6221
14,tur,1426
39,nor,70
17,jpn,2748
11,can,2952
1,mda,670
33,grc,61
9,idn,322
23,isr,181
43,can,208
4,omn,190
310,irn,1
26,zaf,89
14,twn,751
17,zaf,208
9,ven,71
25,svn,32
15,grc,298
26,mex,119
15,chn,10571
12,chn,15847
147,aus,12
65,chn,404
21,hkg,107
29,nzl,67
31,idn,14
14,rwa,14
43,mys,34
8,khm,27
62,sgp,14
69,pak,7
36,vnm,7
15,are,40
52,mex,23
37,nld,161
18,isr,300
45,hun,16
7,dnk,1564
21,che,326
3,kaz,1214
29,can,485
2,cyp,641
54,cmr,4
14,fin,420
10,cze,829
15,mng,2
110,fra,36
30,prt,113
47,tha,21
27,grc,111
59,pol,25
73,twn,35
40,kor,289
6,sen,92
22,sen,8
1288,fra,1
11,ecu,37
92,can,46
48,arg,23
314,gbr,2
6,gha,219
2,bgr,2080
1,dnk,20122
34,bra,405
6,idn,726
21,fra,1462
3,rwa,160
69,aus,73
41,bel,94
12,col,187
28,nga,28
51,aut,31
5,kor,9006
29,che,191
29,arg,93
114,rus,7
45,pol,63
109,deu,32
54,zaf,18
34,ukr,7
34,eth,9
25,bgd,13
1,nic,449
52,mac,3
61,nld,70
106,deu,38
4,kgz,39
24,mac,4
110,gbr,22
86,sau,5
9,fra,5544
3,sau,2595
3,geo,404
24,tur,487
2,svn,2154
38,tur,126
4,are,379
13,chn,13744
31,bel,124
16,col,96
18,tha,180
13,zaf,370
11,lbn,78
41,grc,35
223,gbr,3
83,bra,25
7,irq,106
230,fra,3
80,isr,9
85,chn,171
35,che,144
155,usa,45
26,egy,57
80,aus,49
175,jpn,10
51,bra,130
39,irl,24
151,aus,7
3,dom,39
15,bfa,19
1,prk,190
32,sgp,54
169,jpn,12
30,bfa,7
8,sau,572
29,fra,761
9,aut,865
47,cyp,1
13,aut,507
12,kaz,21
38,ken,7
21,bra,1018
44,ita,300
2,vnm,2536
95,ita,32
82,nld,39
6,isl,112
92,swe,8
122,che,5
171,jpn,7
186,usa,24
7,are,171
113,bel,8
80,gbr,56
212,usa,16
8,ury,101
101,twn,10
60,egy,5
14,srb,243
3,mli,109
15,uga,35
89,kor,53
83,kor,38
174,bel,3
3,sle,62
75,prt,9
44,eth,4
42,jor,1
4,sen,154
7,usa,48408
3,chn,165573
13,bra,2491
47,fra,260
40,bra,237
11,dnk,743
38,srb,26
2,civ,623
21,bgr,29
41,pol,96
93,deu,62
78,ita,60
25,dnk,170
94,jpn,58
205,ita,2
57,deu,185
41,aut,44
282,can,4
24,zaf,98
8,hkg,533
55,esp,135
154,kor,5
165,ita,4
639,usa,1
70,kor,69
2,omn,587
29,ken,14
6,tza,164
8,uzb,11
199,jpn,10
186,twn,1
178,ita,7
198,jpn,3
3,and,7
4,tgo,60
3,slv,41
51,isr,25
15,ben,13
236,esp,5
10,mli,16
32,,68
43,,16
1,mex,58519
6,mdg,33
14,esp,2245
5,svk,814
8,irn,2398
71,can,74
9,hrv,422
12,nld,1664
14,bra,2178
29,dnk,141
44,fra,311
91,nld,22
45,esp,208
11,npl,50
52,can,126
129,deu,20
51,twn,78
71,ind,43
53,can,138
124,kor,15
127,chn,48
12,mwi,20
12,kgz,2
28,srb,54
334,deu,1
161,bel,2
92,twn,25
6,mac,62
3,abw,1
8,usa,39969
4,deu,23333
2,irq,1894
16,dza,38
34,ita,545
9,grc,753
27,jpn,1194
49,jpn,330
15,srb,220
25,pol,273
82,nor,9
62,fra,107
2,lux,363
83,aus,54
313,nld,1
33,egy,26
64,can,101
1,ago,343
32,gin,3
68,gbr,100
117,chn,55
72,chn,283
35,tur,185
2,lao,203
23,srb,89
3,zwe,212
3,gmb,44
18,sle,5
91,nor,11
100,cze,4
94,svn,2
20,mmr,1
58,pak,14
3,usa,164784
59,gbr,131
16,gbr,2613
4,bhr,96
18,eth,32
11,aut,583
3,ven,861
4,lby,41
51,ind,109
24,grc,150
28,ukr,19
41,deu,414
11,bgd,120
32,aut,82
37,sau,39
167,aus,7
5,sgp,1498
88,deu,58
26,sgp,66
114,chn,76
102,nld,23
7,pry,14
16,bgd,65
5,isl,133
13,ury,38
78,bra,27
31,,67
12,bgr,128
28,esp,583
5,isr,2217
14,irn,963
15,bra,1979
26,nld,384
36,ita,532
12,ltu,95
51,pol,37
19,srb,139
27,aus,549
44,nor,45
49,che,78
114,fra,15
191,usa,22
74,gbr,77
217,usa,13
71,esp,45
180,usa,19
49,twn,89
36,srb,24
16,chn,9394
100,nld,32
59,dnk,28
29,mex,89
46,bih,1
111,fra,23
2,glp,46
65,zaf,12
90,sgp,6
11,bwa,15
9,vnm,132
5,moz,45
2,prk,26
1,arg,25698
4,srb,1419
12,gbr,4418
3,bfa,240
1,svn,5589
1,omn,2385
13,pak,314
52,dnk,42
21,hun,102
12,sgp,353
7,srb,696
104,qat,1
41,gbr,343
44,mex,32
34,rou,33
99,aus,32
16,per,35
162,chn,23
126,zaf,1
122,esp,8
158,dnk,2
72,aus,67
31,srb,42
83,fji,1
21,svn,31
3,zmb,168
4,rwa,77
48,jor,4
27,bgr,16
2,hti,106
2,dnk,8448
3,irn,12676
15,usa,13313
6,can,7920
2,bhr,260
26,rus,351
20,hrv,83
8,svk,381
27,esp,630
13,irn,1103
25,cze,146
4,mmr,61
88,qat,2
56,deu,195
37,arg,45
23,tza,12
134,aus,23
130,usa,66
64,esp,74
