number_of_publications,latest_affiliation_country,dist
22,gbr,903
15,fin,255
19,nga,37
7,kwt,62
8,est,91
17,bol,2
50,esp,66
46,ita,145
100,zaf,2
20,nzl,111
50,ind,54
17,cub,27
2,bel,7376
6,mys,476
6,bfa,40
2,col,2386
13,prt,251
9,aus,2128
4,nga,982
15,qat,3
36,jpn,525
5,hkg,772
53,isr,24
23,dnk,110
15,kgz,1
72,bel,15
67,aus,38
70,jpn,104
2,sdn,312
147,sau,1
3,esp,16398
4,bra,9974
6,dza,101
4,bgr,618
21,nld,319
31,deu,403
65,fra,56
136,fra,4
18,phl,7
75,nor,4
3,vnm,296
133,jpn,10
268,chn,1
1,dom,209
8,cze,724
2,cmr,491
39,aus,106
46,deu,199
8,twn,1271
42,mar,1
49,zaf,8
29,svk,17
82,fra,29
81,ita,27
15,twn,390
3,guy,10
5,vut,2
92,chn,32
64,tur,17
37,prt,21
1,kwt,1975
15,fra,1798
2,ven,2049
17,bra,661
17,nld,572
35,deu,360
82,usa,150
64,deu,75
53,bra,53
32,gbr,381
34,can,212
34,aus,189
26,chn,918
90,aus,11
67,fra,47
47,swe,41
196,usa,9
173,nld,7
2,rwa,75
15,vnm,13
6,deu,8135
8,isr,741
37,irn,37
5,nzl,954
27,pol,137
9,tun,213
10,pak,195
89,can,21
57,chn,129
58,swe,17
1,bhs,43
137,ind,1
1,lbn,1627
6,bra,4619
4,rus,6687
14,usa,10943
3,hun,1849
14,grc,300
21,prt,76
57,bel,20
14,rus,727
45,deu,223
53,nor,13
22,che,196
21,idn,3
93,arg,1
79,usa,196
168,usa,12
31,tza,1
2,kgz,64
5,ury,111
18,,302
8,chn,10817
1,sdn,1204
1,pyf,96
2,pri,482
10,can,2340
3,mkd,138
16,prt,142
40,fra,211
29,deu,554
101,esp,10
25,bgr,13
96,jpn,41
8,prt,570
69,fra,51
31,nzl,30
24,ind,270
26,per,3
94,chn,31
25,prt,53
129,chn,10
67,kor,30
8,mdg,15
6,tgo,11
26,irl,39
1,usa,568225
4,isr,2325
5,ind,7104
1,ant,120
4,prt,1565
3,khm,55
1,est,1457
3,irq,99
2,geo,419
4,chn,37726
19,fra,1038
16,can,1034
31,tur,206
10,prt,400
23,aus,368
7,blr,57
27,irl,43
35,irl,17
96,esp,11
20,are,8
12,kwt,22
18,ukr,29
2,atg,10
67,ita,38
2,nga,3055
8,nld,2084
1,syr,527
2,npl,500
26,pol,183
84,grc,3
38,bra,114
12,per,17
3,are,249
39,fra,214
22,chl,37
88,rus,3
41,che,53
5,sen,78
144,jpn,11
108,jpn,29
1,eth,1533
1,mli,375
8,dnk,755
2,rus,18424
3,hrv,1321
4,lux,56
26,jpn,1022
20,cze,140
23,hun,59
35,swe,94
10,are,42
81,esp,16
23,kor,351
27,swe,142
33,zaf,24
65,gbr,56
60,chn,107
31,arg,40
16,ukr,33
14,,560
2,nld,13433
8,tto,24
19,svn,21
31,ita,368
25,arg,54
14,nzl,181
21,grc,152
37,esp,192
51,deu,176
50,kor,65
213,chn,1
124,chn,12
56,bra,48
27,arg,45
4,gab,23
23,grc,109
2,irn,9181
10,mex,511
13,ven,44
33,irn,41
47,bel,34
10,nzl,311
97,deu,21
111,usa,82
16,twn,380
59,jpn,125
19,civ,2
3,ncl,27
140,fin,2
88,jpn,35
82,jpn,64
125,nld,6
1,fin,11065
8,deu,4988
8,esp,3591
17,rou,54
4,cmr,155
12,npl,16
6,col,226
23,hrv,32
6,irl,670
60,fra,87
51,cze,11
105,jpn,29
58,jpn,185
135,nld,7
27,zaf,46
155,fra,3
36,twn,114
6,pak,483
63,irn,9
3,che,5113
2,rou,3066
7,can,4448
11,ukr,95
7,est,151
7,svn,239
11,mkd,13
12,hun,215
48,nld,72
51,gbr,108
56,nor,13
97,usa,108
1,gmb,144
76,aus,17
98,ind,4
12,mdg,5
9,jor,48
13,sen,19
53,kor,75
1,bhr,460
8,jpn,8169
11,ind,1626
4,ken,328
14,fra,1895
4,jam,70
38,usa,1339
8,are,42
43,hun,22
29,gbr,487
28,aus,262
34,fin,41
39,jpn,430
21,tun,33
38,aus,148
16,mex,205
71,jpn,93
34,jpn,605
77,usa,225
8,aze,21
21,pak,34
62,kor,43
86,chn,47
3,cyp,111
24,vct,1
1,lso,60
38,prt,17
21,,156
4,col,534
2,est,628
8,ken,85
29,tur,245
15,arg,216
42,hrv,4
47,tur,56
74,can,40
32,rus,71
2,gtm,99
81,fin,9
28,tza,5
14,irq,4
73,jpn,72
93,esp,14
14,col,41
9,mex,635
1,tto,809
2,arm,250
13,jpn,3786
4,dnk,2102
9,cze,592
13,grc,362
7,chl,414
13,can,1542
37,jpn,476
8,aut,652
48,jpn,264
12,cyp,18
26,ind,233
22,arg,94
67,usa,307
73,swe,15
26,arg,58
14,chl,95
69,chn,67
51,chn,175
22,mys,33
4,cri,89
56,che,21
124,esp,5
22,jor,13
49,rus,15
35,rus,51
7,rus,2690
11,gbr,3551
23,ita,778
3,tto,82
55,nld,46
38,can,169
38,mex,27
13,nzl,200
33,nld,127
54,nld,46
42,pol,46
21,hrv,35
55,aut,17
19,chl,60
195,usa,5
170,nor,1
62,chn,104
95,usa,106
115,chn,18
67,irn,7
1,bmu,41
15,lka,9
1,mlt,321
1,som,25
4,vnm,178
1,zwe,742
11,usa,16460
3,bhr,73
9,gbr,5250
6,cub,255
12,arg,349
25,nld,282
51,fin,24
48,esp,93
44,can,138
22,mex,90
70,nld,29
59,kor,38
377,chn,1
59,fra,76
80,chn,44
5,caf,7
5,mng,27
74,fin,10
149,jpn,10
7,zaf,503
10,hun,342
6,ven,239
33,fra,319
37,aus,158
41,isr,43
24,hrv,34
17,hun,132
21,ind,393
17,arg,148
30,fin,56
15,sgp,102
64,che,23
14,nga,97
11,ltu,63
32,irl,28
15,,444
2,chl,3992
6,pol,2263
12,svn,77
4,chl,1040
19,jpn,1911
7,sau,209
14,tha,123
28,ind,210
23,esp,528
68,esp,25
50,isl,3
78,rus,9
151,usa,30
6,lbn,86
1,yem,364
15,hrv,113
23,ind,339
87,kor,12
115,can,9
4,rou,965
8,swe,1552
12,rou,130
5,srb,589
15,gbr,2131
9,ken,71
76,prt,5
13,egy,106
45,grc,34
62,isr,10
17,sau,27
37,che,62
42,gbr,175
140,deu,11
17,aut,203
73,rus,11
43,fin,37
58,ind,18
188,usa,10
25,isr,96
5,jam,36
129,twn,3
18,est,14
91,dnk,4
38,,26
1,tuv,4
2,png,81
6,bgd,148
16,che,361
3,cub,1131
18,gbr,1427
16,esp,1066
21,mex,87
34,esp,216
19,arg,133
9,lbn,37
101,usa,98
78,che,9
112,chn,13
74,twn,15
81,kor,24
5,pol,3087
6,irn,1275
7,tha,505
1,mwi,522
2,phl,697
2,gab,109
6,egy,585
2,mkd,290
34,usa,1747
17,syr,3
59,che,33
8,cub,126
45,gbr,186
38,cze,41
39,dnk,34
95,twn,10
30,,53
1,kgz,220
1,isl,946
3,isl,205
13,arg,308
14,dnk,294
23,rou,22
89,fra,19
110,swe,4
50,fin,17
53,bel,36
3,qat,104
110,deu,14
5,uga,89
80,ind,7
40,grc,37
3,pol,6099
10,uga,25
14,egy,84
9,hun,377
7,cyp,35
23,ury,7
45,irn,16
33,bra,171
75,mda,1
13,col,46
74,grc,8
54,deu,125
25,pri,2
24,fin,104
116,nld,9
71,gbr,45
1,brb,143
40,syr,1
5,kaz,47
77,ita,34
1,mys,12589
6,bel,1583
24,isr,122
3,jor,360
54,rus,13
86,che,11
92,usa,120
3,nam,23
12,ukr,94
28,jam,3
95,gbr,10
53,tur,28
4,idn,266
41,nld,88
91,fra,16
51,kor,65
2,mhl,7
5,aus,5146
1,mus,255
9,esp,2942
16,fra,1608
25,esp,453
21,pol,253
12,kor,1226
53,deu,127
35,bel,59
12,sau,84
29,swe,133
42,tha,12
39,esp,142
142,usa,41
48,ita,111
62,hkg,9
66,chn,75
75,chn,52
15,lbn,20
18,aut,182
170,hkg,1
23,,148
5,swe,2947
8,tha,410
2,hkg,3310
10,fin,558
9,ukr,146
19,can,711
10,nor,510
18,sau,30
16,zaf,117
37,deu,342
20,grc,154
11,chn,5745
4,pse,36
6,kor,3611
47,ukr,4
38,jpn,445
51,irn,15
21,fin,150
27,nga,17
79,nld,19
30,isr,76
2,pry,58
5,ken,192
2,mus,40
59,rus,23
7,brb,5
267,chn,4
14,svk,87
9,sur,1
2,ukr,2342
8,srb,292
63,usa,342
55,deu,131
25,svk,23
57,tha,4
6,mli,21
62,can,58
12,dnk,388
81,mex,2
9,nzl,386
152,gbr,5
77,hkg,6
10,zmb,13
57,tur,18
6,geo,58
126,fra,8
12,lbn,29
26,fin,91
10,che,820
33,gbr,385
10,ven,88
27,prt,48
30,pol,125
55,rus,14
84,swe,9
17,nzl,109
5,lby,27
25,chn,952
68,twn,27
32,twn,102
1,rwa,201
5,bih,74
10,ltu,65
91,esp,6
11,hkg,217
39,lao,1
57,aus,60
20,,196
6,grc,1253
1,ukr,5741
6,usa,44984
1,hrv,6036
1,khm,438
1,gtm,327
12,srb,172
57,nld,43
12,tza,24
33,usa,1777
14,swe,542
25,jpn,1111
77,nld,20
141,fra,7
254,jpn,1
34,idn,3
23,chn,1175
13,isl,21
37,chn,346
109,hkg,4
64,kor,39
4,pol,4318
6,chl,487
3,aus,10586
8,tur,1844
36,esp,187
45,bra,63
33,deu,443
6,svk,358
32,ita,388
3,alb,50
11,sen,22
49,ita,118
79,jpn,58
34,zaf,16
43,fra,154
15,guf,2
10,sgp,243
20,irl,66
3,mda,37
4,pyf,12
31,mex,38
5,tza,84
1,chn,412426
1,qat,782
5,hun,980
7,nor,804
20,rus,290
9,ind,2437
12,idn,12
10,tun,149
22,bel,177
35,can,219
36,chl,7
17,swe,352
34,ind,115
63,chn,90
14,uga,17
85,deu,34
16,bih,15
53,rus,13
10,tha,276
4,sau,519
19,isr,214
40,ita,206
39,ita,226
119,bra,4
43,aus,109
14,bgr,59
16,kor,713
17,irn,183
9,mkd,14
1,ven,7211
4,dza,229
8,che,1207
54,tur,31
42,nld,110
38,nld,113
48,fra,124
55,che,23
44,nld,94
54,bel,25
72,jpn,81
43,bel,47
44,pol,43
13,chl,126
50,hkg,14
75,kor,21
17,ltu,13
76,gbr,31
108,fra,18
39,twn,66
13,nor,319
4,ukr,763
15,tha,113
9,fin,666
6,pyf,5
16,ind,690
2,lka,390
11,srb,166
26,chl,30
46,esp,101
36,fin,52
88,usa,128
35,twn,81
137,usa,29
2,dza,965
11,nga,155
10,svn,119
2,bfa,220
9,irq,7
123,grc,3
35,zaf,21
118,esp,6
2,grl,18
5,irn,1735
3,dza,387
24,gbr,750
29,hun,25
19,che,288
32,deu,469
10,twn,903
18,nor,149
66,isr,10
60,jpn,174
42,kor,107
32,est,4
1,guf,82
133,deu,11
415,jpn,1
43,nor,28
117,ita,10
5,che,2496
20,ita,1033
11,che,662
17,ita,1449
11,egy,168
10,lbn,38
11,hun,313
71,usa,255
10,idn,38
47,usa,779
23,bel,153
94,usa,100
24,are,7
51,bel,34
52,deu,168
84,twn,11
9,tza,43
4,sdn,73
5,ven,331
25,usa,3375
9,isr,656
9,bel,842
8,fin,794
20,bra,489
47,bra,63
67,bel,17
23,jpn,1274
62,usa,376
85,fra,18
77,gbr,30
28,hkg,24
83,chn,40
3,lux,80
44,esp,99
4,svk,634
24,jpn,1226
6,prt,935
17,pol,371
10,phl,24
79,esp,15
55,bel,23
44,aut,26
43,esp,105
43,swe,47
18,chn,2157
48,bra,62
59,chn,102
17,dza,6
49,nld,72
55,zaf,7
1,tls,14
123,usa,51
40,,10
6,rus,3446
5,tha,881
9,prt,490
6,yem,6
25,fra,647
20,deu,1063
35,fin,39
18,dnk,213
6,rou,502
14,svn,66
19,grc,192
30,chl,14
49,hun,6
74,che,15
42,fin,29
10,chn,6944
107,jpn,25
88,fra,28
23,egy,22
43,tur,59
302,ita,1
1,egy,13685
1,cub,8165
10,gbr,4223
30,nld,187
6,lka,51
36,nor,37
19,gbr,1282
23,gbr,899
41,fra,183
51,ita,95
59,ita,79
10,zwe,19
36,bra,122
19,irl,89
4,syr,42
2,gin,35
11,per,22
2,egy,4149
2,aut,5335
6,mkd,38
6,hun,716
9,dnk,653
7,hkg,448
11,grc,476
7,kor,2918
2,ury,547
4,nzl,1310
26,aut,82
19,lbn,21
3,pri,211
21,gbr,1056
1,scg,34
10,sen,27
60,ita,77
39,grc,40
5,png,19
25,hkg,44
12,usa,14361
4,lka,117
21,swe,231
22,bra,432
8,jor,76
6,blr,80
26,isr,112
59,ukr,1
53,gbr,118
13,bgr,72
29,prt,47
8,isl,58
55,fin,13
62,jpn,140
9,tto,8
99,can,11
97,chn,29
46,are,2
39,fin,35
261,fra,2
143,nld,5
5,phl,132
16,grc,211
22,can,552
37,can,182
19,chn,1765
41,esp,124
142,ita,4
32,irn,49
4,bmu,5
16,,400
5,rus,4545
9,tur,1536
9,jpn,6803
25,ind,261
3,uga,203
12,grc,418
21,nor,112
39,arg,22
27,qat,2
22,nor,110
41,ita,216
72,gbr,52
44,prt,17
81,chn,44
43,chn,263
91,deu,32
16,cmr,13
10,tza,28
2,cog,192
88,can,12
2,arg,6654
1,alb,350
19,mys,40
5,sau,394
13,png,5
2,eth,467
13,swe,650
3,per,340
4,geo,137
26,esp,357
45,ita,141
6,srb,466
10,zaf,268
14,ven,49
45,cze,22
20,mwi,4
1,com,30
1,mmr,316
8,pri,29
1,che,23390
3,cze,2697
8,aus,2509
24,est,6
36,ind,83
24,prt,63
28,can,364
6,kwt,77
40,isr,51
25,aus,309
47,esp,88
19,swe,314
34,nld,142
57,aut,15
128,bra,1
60,aus,44
25,swe,181
41,chn,286
5,bwa,34
29,mdg,1
5,eri,7
2,guy,22
9,svk,168
58,ita,66
2,deu,48763
1,zaf,12585
11,arg,427
2,zaf,4267
7,fra,5731
7,ind,3992
4,bel,2752
3,isr,3546
5,irq,40
7,phl,49
2,mtq,29
17,isr,219
28,kor,256
179,bra,1
30,sgp,32
13,sgp,137
15,svn,39
20,mys,50
1,tur,35009
1,sgp,9375
3,mys,1510
1,ben,447
5,zaf,894
56,tha,3
15,bel,338
6,aut,1090
19,nld,449
22,isr,147
24,fra,736
14,phl,15
25,rus,159
40,can,183
43,usa,986
59,usa,457
14,uzb,9
59,nld,51
3,pan,56
3,phl,295
7,pak,359
12,est,40
10,sdn,18
282,deu,1
75,esp,25
1,mrt,87
183,usa,10
1,irq,1342
2,lva,348
11,nor,442
22,deu,941
27,usa,2869
1,slv,195
7,mys,342
3,cod,23
4,kwt,195
4,phl,157
15,pak,72
49,nor,17
30,tur,227
13,lie,1
83,che,14
32,bra,185
87,chn,39
78,kor,19
4,jor,214
34,kor,160
5,bgd,210
3,nld,7296
7,eth,43
18,hrv,75
9,sau,118
17,hrv,94
30,fra,448
20,mex,132
8,ukr,188
76,can,31
47,gbr,160
65,fin,12
27,kor,281
4,zwe,57
16,mys,70
86,grc,1
60,irn,6
31,nor,55
5,col,321
3,deu,24598
24,ita,702
1,yug,195
21,ita,951
18,prt,118
19,guf,3
16,hun,137
55,srb,3
37,chl,15
44,jpn,343
8,tgo,9
6,zwe,24
1,fji,232
97,cze,1
160,chn,12
24,,128
9,dza,41
11,prt,335
10,egy,199
18,ita,1215
44,grc,24
39,tur,102
15,hti,2
120,fra,9
110,isr,1
20,isr,193
11,pak,149
45,zaf,8
5,mlt,18
52,sgp,3
10,civ,12
51,prt,15
137,deu,6
1,lca,15
66,dnk,9
41,egy,4
3,bol,69
9,sdn,17
37,est,2
17,pak,54
5,dom,4
8,bhr,9
92,tur,3
109,fra,7
589,usa,1
14,isl,24
18,bfa,6
5,cyp,53
2,brb,47
85,usa,165
154,gbr,3
225,hkg,1
22,svn,16
40,aut,39
3,mus,23
110,can,19
19,zaf,69
50,aut,23
46,pol,31
14,mar,28
48,cze,14
58,est,1
7,isl,53
4,moz,19
63,can,44
62,nor,5
108,gbr,9
22,jam,2
84,fra,10
3,ago,15
9,ner,4
170,nld,3
373,chn,2
190,irn,1
66,,3
15,ncl,3
42,ind,69
26,gum,1
27,egy,16
83,esp,18
121,bel,2
122,bra,6
204,chn,3
18,hkg,89
44,zmb,1
19,rou,53
62,bel,24
85,jpn,52
8,dza,36
17,bgr,35
10,mwi,13
66,ita,38
21,cub,9
77,rus,7
11,flk,1
37,grc,40
76,fin,9
4,ben,43
11,mli,10
59,swe,22
73,irl,4
70,irn,10
1,abw,10
43,per,3
16,lbn,23
30,bgd,2
119,ita,7
6,cog,9
193,bra,2
53,hkg,15
89,bel,8
16,ven,21
50,deu,168
123,gbr,9
4,nam,17
3,tgo,33
10,lka,20
12,ken,42
51,nzl,9
74,isr,5
10,cub,88
56,sgp,8
6,uzb,31
51,dnk,26
46,arg,5
24,egy,22
86,ita,22
13,omn,9
30,ind,160
45,srb,2
55,aus,38
26,prt,52
32,pol,96
393,per,1
9,wsm,1
81,bra,10
5,lie,3
13,syr,7
17,bgd,8
26,tun,24
19,isl,8
187,usa,8
16,svk,61
46,che,46
40,tha,8
11,eth,16
61,swe,13
197,usa,9
1,btn,56
147,chn,9
36,,20
46,pri,1
12,civ,12
42,dnk,40
87,twn,14
151,nld,2
93,nld,8
83,irn,2
176,bel,1
2,reu,37
142,deu,8
32,mex,37
57,twn,30
42,twn,79
16,pak,68
80,tur,6
35,isl,6
347,irn,1
99,chn,21
27,dnk,84
30,hkg,37
79,aus,21
63,bra,19
68,ind,20
218,usa,6
48,rus,30
68,hkg,7
11,dza,17
134,chn,12
4,gtm,17
10,ner,8
43,arg,17
27,tun,22
17,tun,47
43,ltu,2
127,rus,3
23,ltu,11
42,tur,66
114,aus,10
48,ken,5
194,fra,2
52,nor,10
46,twn,51
79,sgp,4
11,svn,103
61,nor,6
97,fra,18
54,che,28
84,aus,11
33,vnm,3
12,zwe,10
20,ken,11
72,deu,51
89,che,6
67,esp,31
97,ita,12
148,kor,6
140,aus,4
4,civ,93
63,bel,19
21,eth,4
3,mac,38
84,fin,7
55,pol,29
63,aut,18
47,cze,20
4,yem,22
138,usa,25
263,usa,3
39,ukr,2
54,grc,21
30,uzb,2
43,cze,26
9,zwe,12
78,mys,3
332,usa,2
7,lva,38
7,ben,22
7,dza,64
7,lka,28
163,irl,1
146,bra,2
54,sgp,9
115,aus,6
31,hkg,27
62,zaf,5
91,jpn,45
133,swe,2
3,fji,26
57,mex,5
217,nld,2
47,dnk,24
58,sgp,4
63,esp,40
5,pse,16
2,cym,14
2,caf,24
58,gbr,83
14,lie,1
29,jam,4
41,ind,77
18,idn,11
41,irn,17
74,fra,33
51,swe,29
21,irl,51
25,mys,14
29,svn,17
94,esp,10
33,sgp,24
9,mwi,19
28,mys,19
191,rus,1
4,swz,11
52,irn,9
11,gha,19
8,syc,2
39,tha,14
27,pak,19
8,bih,34
67,gbr,62
75,swe,12
34,nzl,27
44,isr,24
37,jor,2
41,sen,1
5,qat,29
62,cze,11
26,nzl,61
79,prt,6
113,ita,14
146,can,1
11,vnm,18
37,nor,46
32,blr,4
63,aus,46
73,aus,22
69,sgp,4
59,isr,16
45,fin,22
13,fro,1
