id,Mention_country,treated,log_count,log_gdp,log_population,log_Rpop,pretrend_slope,log_count_bin,log_gdp_bin,log_population_bin,log_Rpop_bin,pretrend_slope_bin,stratum,n_control,n_treated,cem_w
42,est,0.0,4.791488594405498,9.331235338197276,14.116200394426512,7.984586883535645,0.12384658527254243,"(-0.75, 0.75]","(0.75, 1.5]","(-inf, -1.5]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-inf, -1.5]|(-0.75, 0.75]|(-0.75, 0.75]",2,1,0.5
51,gtm,0.0,2.6857172735775863,7.70754462578699,16.39508754139767,5.307552907910685,0.09671030759804493,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",6,1,0.16666666666666666
53,hnd,0.0,1.7724289147151577,7.263914616313654,15.860256535330599,4.389513667544522,0.09465477475868127,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",6,1,0.16666666666666666
64,jor,1.0,5.28049137839329,7.853560287887881,15.616642755321115,7.923126830482401,0.11848096198561676,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",10,2,1.0
66,kaz,0.0,2.9693198344348057,8.408166223679501,16.551612535462795,7.01940342524649,0.05007751149145023,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-1.5, -0.75]",3,1,0.3333333333333333
69,khm,0.0,3.0734471726767683,6.279852493110158,16.415339672475657,5.616739135466791,0.15443805043994316,"(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",2,1,0.5
71,kwt,1.0,4.896373820976994,10.447912889146854,14.692433227682828,7.570919755098681,0.05966430171352022,"(-0.75, 0.75]","(0.75, 1.5]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-1.5, -0.75]|(-0.75, 0.75]|(-0.75, 0.75]",2,2,1.0
73,lbn,0.0,4.310575825645247,8.573653625048992,15.367793466851143,7.624733316596075,0.10243793609579332,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",10,2,0.2
75,lby,1.0,2.87107535450866,8.997379462847766,15.598555273427074,5.678414434935771,0.14065332884900505,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",6,1,1.0
76,lka,0.0,4.686608100817122,7.285100922598657,16.805147666655003,7.200225832923942,0.10541253481273624,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",10,2,0.2
80,mar,1.0,4.897364342144497,7.799410771402502,17.244047337200314,8.670477458252376,0.046160699912566105,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-1.5, -0.75]",3,1,1.0
88,moz,0.0,3.0455233392822842,6.103657998840186,16.847965224197978,5.449807435297595,0.10769953809040556,"(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",2,1,0.5
96,nic,0.0,2.4928655670660524,7.1147768140252925,15.527185760540497,5.014529263576882,0.1483076087893998,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",6,1,0.16666666666666666
101,omn,1.0,4.216691100519344,9.54409520167347,14.761660406318745,6.942187003657731,0.09643716551295273,"(-0.75, 0.75]","(0.75, 1.5]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-1.5, -0.75]|(-0.75, 0.75]|(-0.75, 0.75]",2,2,1.0
104,per,0.0,4.68884147181063,8.041698761505522,17.159421765184163,7.557538495392898,0.13116482011102673,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",10,2,0.2
107,pri,0.0,4.116670097667324,10.026878704071688,15.147797891345375,7.282063183392769,0.11088122738784964,"(-0.75, 0.75]","(0.75, 1.5]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-1.5, -0.75]|(-0.75, 0.75]|(-0.75, 0.75]",2,2,1.0
109,pry,0.0,1.938861104965682,7.836465871231013,15.525399410089417,5.032296319666057,0.1363237761079734,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",6,1,0.16666666666666666
112,rou,0.0,4.97011618889134,8.57565572683673,16.861344980473348,9.447449466496996,0.2584457574988097,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(1.5, inf]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(1.5, inf]",1,1,1.0
116,sen,0.0,4.101893957626245,6.964117345669364,16.238194936519758,7.027595944124795,0.024220806988226234,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-1.5, -0.75]",3,1,0.3333333333333333
122,svn,0.0,5.255606530231287,9.879202937952087,14.515386489479669,8.814321433414971,0.1236646046607055,"(-0.75, 0.75]","(0.75, 1.5]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-1.5, -0.75]|(-0.75, 0.75]|(-0.75, 0.75]",2,2,1.0
124,syr,1.0,3.3494730591979462,8.959962729557288,16.791303680593153,6.194762702247958,0.1075293461318588,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",10,2,1.0
130,tto,0.0,2.947300383456648,9.40392706008139,14.13553387272524,6.33703524215958,0.10150844033789347,"(-0.75, 0.75]","(0.75, 1.5]","(-inf, -1.5]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-inf, -1.5]|(-0.75, 0.75]|(-0.75, 0.75]",2,1,0.5
131,tun,1.0,5.3410441616634206,8.110634709046764,16.165453753849526,9.013219121295,0.2099884041668361,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(1.5, inf]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(1.5, inf]",1,1,1.0
135,ukr,0.0,4.286292793778923,7.631224832267012,17.663281898846186,9.655312910770197,0.05891731111498371,"(-0.75, 0.75]","(-0.75, 0.75]","(0.75, 1.5]","(0.75, 1.5]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(0.75, 1.5]|(0.75, 1.5]|(-0.75, 0.75]",1,1,1.0
139,ven,0.0,5.558258067725209,8.814736538563851,17.11304376685811,8.665233765664127,0.10675581302280002,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",10,2,0.2
141,yem,1.0,3.0126155006731503,6.733423307620998,16.906847258839697,5.404255150043217,0.1176615190867481,"(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",2,1,1.0
